id,name,big_tech,description,service,acquisition_date,parent,relationship,influence_zone,location
meta,Meta,TRUE,,,,,,0,US
instagram,Instagram,FALSE,,Social media,,meta,subsidiary,1,
whatsapp,Whatsapp,FALSE,,Messaging app,,meta,subsidiary,1,
facebook,Facebook,FALSE,,Social media,,meta,subsidiary,1,
scaleai,Scale AI,FALSE,,Data labelling,,meta,subsidiary,1,
anthropic,Anthropic,FALSE,,AI,,meta,investment,2,
alphabet,Alphabet,TRUE,,,,,,0,US
google_search,Google Search,FALSE,,Search engine,,alphabet,product,1,
google_drive,Google Drive,FALSE,,Cloud storage,,alphabet,product,1,
android,Android,FALSE,,Operating System,,alphabet,product,1,
youtube,Youtube,FALSE,,Video platform,,alphabet,subsidiary,1,
gemini,Gemini,FALSE,,AI,,alphabet,product,1,
google_maps,Google Maps,FALSE,,Maps,,alphabet,product,1,
waymo,Waymo,FALSE,,Self-driving cars,,alphabet,subsidiary,1,
google_fiber,Google Fiber,FALSE,,Internet,,alphabet,subsidiary,1,
nest,Nest,FALSE,,Smart appliances,,alphabet,subsidiary,1,
calico,Calico,FALSE,,Biotechnology,,alphabet,subsidiary,1,
uber,Uber,FALSE,,Taxi service,,alphabet,investment,2,
medium,Medium,FALSE,,Publishing platform,,alphabet,investment,2,
united_masters,UniiedMasters,FALSE,,Music distribution,,alphabet,investment,2,
adsense,AdSense,FALSE,,Advertising,,alphabet,subsidiary,1,
